property (ie variable),possible_values,short description (if necessary),descriptions,node,priority,notes,
o2 and/or d4b,"['Male', 'Female', 'Transgender', 'Gender nonconforming', 'Something else', 'Not reported']",gender identity,"What is your gender identity? 
",demographic,1,This gender variable is intended to map o2 to d4b variables (or d4b variables). The intent is to harmonize the two variables for reporting purposes.,
d3,"['White', 'Black or African American', 'American Indian or Alaska Native (SPECIFY principal tribe or community)', 'Native Hawaiian or Other Pacific Islander', 'Asian', 'Some other race (SPECIFY)', 'Not reported']",race,"What is your race? SELECT ALL THAT APPLY
",demographic,1,This variable is the same as d2 but is called race to easier id for reporting purposes. May want to just specify d2.,
d2,,hispanic,,demographic,1,,
quarter_recruited,string,quarter enrolled,"The quarter and year in which recruited for first study in the format of XXXXqX (e.g., 2020q1 for year 2020, Quarter 1).
",participant,1,,
role_in_project,"['Client', 'Staff']",role in project,"Are they a client or research staff?
",participant,1,,
completed_follow_up,boolean,follow up,"TBD
",follow_up,4 or exclude from list?,,
visit_number,integer,visit number,"Visit number
",follow_up,4 or exclude from list?,"1=baseline,2-4=followups?",
visit_type,"['Baseline Visit', 'Follow-up Visit', 'Abbreviated Visit (Record in ABRV file)']",visit type,"Define if the visit is a follow-up or the baseline visit.
",follow_up,2,"Change to all types of visits (eg baseline,3/6/9/12 month follow up,withdrew). Should we prepopulate all follow up visits. That is, if there is a baseline record for someone, automatically make records for follow up.",adminstrative data - separate property
S1a,"['Never', 'More than a year ago', '7 to 12 months ago', '4 to 6 months ago', '2 to 3 months ago', 'Past month', ""Don't know""]",drug use,"When was the last time you used alcohol or other drugs weekly or more often? 
",substance_use,4,,
S1b,"['Never', 'More than a year ago', '7 to 12 months ago', '4 to 6 months ago', '2 to 3 months ago', 'Past month', ""Don't know""]",dysfunction from drugs,"When was the last time you spent a lot of time either getting alcohol or other drugs, using alcohol or other drugs, or recovering from the effects of alcohol or other drugs (feeling sick)?
",substance_use,4,,
S1c,"['Never', 'More than a year ago', '7 to 12 months ago', '4 to 6 months ago', '2 to 3 months ago', 'Past month', ""Don't know""]",dysfunction from drugs,"When was the last time you kept using alcohol or other drugs even though it was causing social   problems, leading to fights, or getting you into trouble with other people?
",substance_use,4,,
S1d,"['Never', 'More than a year ago', '7 to 12 months ago', '4 to 6 months ago', '2 to 3 months ago', 'Past month', ""Don't know""]",dysfunction from drugs,"When was the last time your use of alcohol or other drugs caused you to give up or reduce your involvement in activities at work, school, home or social events?
",substance_use,4,,
